market,commodity,year,month,cpi
Kumasi,Maize,2008,1,214.5
Kumasi,Maize,2008,2,220.7
Kumasi,Maize,2008,3,225.7
Kumasi,Maize,2008,4,231.3
Kumasi,Maize,2008,5,243.5
Kumasi,Maize,2008,6,249.1
Kumasi,Maize,2008,7,251
Kumasi,Maize,2008,8,248.6
Kumasi,Maize,2008,9,243.8
Kumasi,Maize,2008,10,236.9
Kumasi,Maize,2008,11,241.1
Kumasi,Maize,2008,12,246.7
Kumasi,Maize,2009,1,256.2
Kumasi,Maize,2009,2,262.5
Kumasi,Maize,2009,3,267.5
Kumasi,Maize,2009,4,276
Kumasi,Maize,2009,5,285.3
Kumasi,Maize,2009,6,287.8
Kumasi,Maize,2009,7,289.1
Kumasi,Maize,2009,8,285.3
Kumasi,Maize,2009,9,275
Kumasi,Maize,2009,10,269
Kumasi,Maize,2009,11,271
Kumasi,Maize,2009,12,275.9
Kumasi,Maize,2010,1,279.5
Kumasi,Maize,2010,2,284
Kumasi,Maize,2010,3,287.1
Kumasi,Maize,2010,4,292.1
Kumasi,Maize,2010,5,298.6
Kumasi,Maize,2010,6,305.4
Kumasi,Maize,2010,7,306
Kumasi,Maize,2010,8,300.5
Kumasi,Maize,2010,9,290.6
Kumasi,Maize,2010,10,284.1
Kumasi,Maize,2010,11,285.4
Kumasi,Maize,2010,12,288.3
Kumasi,Maize,2011,1,293
Kumasi,Maize,2011,2,297
Kumasi,Maize,2011,3,300.6
Kumasi,Maize,2011,4,304.3
Kumasi,Maize,2011,5,310.4
Kumasi,Maize,2011,6,313.9
Kumasi,Maize,2011,7,316
Kumasi,Maize,2011,8,311.9
Kumasi,Maize,2011,9,301.4
Kumasi,Maize,2011,10,295.6
Kumasi,Maize,2011,11,298
Kumasi,Maize,2011,12,300.6
Kumasi,Maize,2012,1,97.4958
Kumasi,Maize,2012,2,98.641
Kumasi,Maize,2012,3,98.641
Kumasi,Maize,2012,4,101.4071
Kumasi,Maize,2012,5,101.4071
Kumasi,Maize,2012,6,102.1679
Kumasi,Maize,2012,7,103.9148
Kumasi,Maize,2012,8,101.9171
Kumasi,Maize,2012,9,97.3699
Kumasi,Maize,2012,10,98.5842
Kumasi,Maize,2012,11,98.9502
Kumasi,Maize,2012,12,99.6234
Kumasi,Maize,2013,1,105.273
Kumasi,Maize,2013,2,105.273
Kumasi,Maize,2013,3,105.273
Kumasi,Maize,2013,4,108.0738
Kumasi,Maize,2013,5,108.0738
Kumasi,Maize,2013,6,109.6575
Kumasi,Maize,2013,7,111.53
Kumasi,Maize,2013,8,110.0008
Kumasi,Maize,2013,9,106.0242
Kumasi,Maize,2013,10,105.3739
Kumasi,Maize,2013,11,106.1582
Kumasi,Maize,2013,12,106.8374
Kumasi,Maize,2014,1,112.7433
Kumasi,Maize,2014,2,113.1858
Kumasi,Maize,2014,3,113.92
Kumasi,Maize,2014,4,115.6005
Kumasi,Maize,2014,5,116.7307
Kumasi,Maize,2014,6,118.3548
Kumasi,Maize,2014,7,117.1318
Kumasi,Maize,2014,8,115.7
Kumasi,Maize,2014,9,112.1683
Kumasi,Maize,2014,10,112.243
Kumasi,Maize,2014,11,113.2103
