Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,1,25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,2,27.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,3,33.16,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,4,39.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,5,52,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,6,51.3,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,7,79.3,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,8,85,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,9,44.35,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,10,38.55,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,11,42.2,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2008,12,38,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,1,44.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,2,51.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,3,55.75,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,4,58,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,5,69.6,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,6,67,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,7,67.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,8,67.6,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,9,38,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,10,48,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,11,58.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2009,12,58.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,1,52.4,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,2,49,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,3,47.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,4,38,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,5,43.6,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,6,48.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,7,50,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,8,39,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,9,35.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,10,29.8,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,11,36,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2010,12,,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,1,43.8,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,2,38.2,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,3,50,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,4,50,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,5,50,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,6,81,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,7,83,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,8,83,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,9,85.75,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,10,77,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,11,67,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2011,12,101,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,1,100,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,2,100,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,3,103,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,4,101.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,5,122.75,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,6,131.2,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,7,120,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,8,110,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,9,86.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,10,70,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,11,77.5,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2012,12,78,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2013,1,78.75,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2013,2,78.75,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2013,3,78.25,100 KG,GHS
Ghana,Ashanti,Kumasi,Maize,Wholesale,2013,4,81,100 KG,GHS
